,importance
sensor_4_roll_mean_10,0.048393986628487054
sensor_11_roll_mean_5,0.04435682558617939
sensor_4_roll_mean_5,0.040084231666741944
sensor_15_roll_mean_10,0.038113903004077736
sensor_4_roll_mean_20,0.03633729273089949
sensor_11_roll_mean_10,0.03497561040648942
sensor_21_roll_mean_10,0.0341743605690105
sensor_3_roll_mean_10,0.027905253377109574
sensor_17_roll_mean_10,0.027619416553573254
sensor_11_roll_mean_20,0.02592913211512724
sensor_15_roll_mean_20,0.02478285608102027
sensor_3_roll_mean_20,0.02447883067392067
sensor_21_roll_mean_20,0.022781580616979595
sensor_20_roll_mean_20,0.02214892543914511
sensor_20_roll_mean_10,0.02045355981796872
sensor_17_roll_mean_20,0.01923042837314941
sensor_9_roll_mean_20,0.019174308388099418
sensor_2_roll_mean_10,0.019016969370161434
sensor_15_roll_mean_5,0.01885135717787693
sensor_21_roll_mean_5,0.018386287627690845
